534	544	1335	1500	1533	2621	1943	2043	2245	3749	3873	4614	4682	5028	5139	5252	5602	6137	6168	6669	6751	7260	7697	8342	8466	8579	8601	8680	9521	9599		 2.457
385	403	482	518	627	1591	1728	2096	2110	3168	3752	3776	3915	3932	4175	4253	4590	4614	4796	5122	5269	6173	7642	7657	7785	7807	7830	8914	9496	9532		 1.999
236	975	1009	1533	1757	2192	2369	2461	2668	2985	3602	3754	4906	4928	4944	4975	5430	9542	5823	5865	6617	6644	6794	7021	7562	7838	8284	8579	8598	9545		 3.186
332	336	454	1289	1840	2001	2360	2369	2639	2936	3406	4297	4614	5106	5341	5351	5584	5789	6418	6762	7063	7104	7426	7971	8718	8838	8888	8961	9013	9208		 2.520
104	449	1102	1121	1184	1682	1854	1989	2190	2369	2836	3604	3970	4868	4911	5672	5733	6174	6516	6659	7035	7089	7417	7657	8205	8216	8720	8759	8856	9379		 2.435
185	296	984	1533	6321	1598	2118	2369	2410	2886	3175	3232	3340	3999	4148	4614	4773	4909	5636	5742	6591	6601	6606	6988	7420	8283	8579	8838	9533	9599		 3.693
155	463	753	763	1335	1392	1533	1625	2291	2132	2655	2807	3262	3814	3832	3910	4195	4619	4813	6119	6139	6427	6985	7469	7858	8392	8579	8714	8875	9599		 4.536
155	446	1114	1139	1193	1336	1392	1600	1601	1682	1847	2892	3453	3767	3950	4022	4614	4766	5306	5823	6088	6521	6827	6964	7358	7417	7604	8720	8918	9494		 2.446
315	443	710	1210	1336	1420	1533	1854	2369	2657	3030	3723	3909	4038	4049	4233	5664	6015	6868	6871	7035	7579	7917	8006	8274	8314	8368	8579	9107	9599		 2.283
109	470	596	1085	1121	1236	1247	1506	1838	2369	3071	3165	3337	4614	4638	4684	5037	5829	6107	6639	7170	7212	7270	7547	7837	8060	8720	8721	9363	9475		 2.777
109	418	498	817	910	1854	1961	1985	2112	2369	2651	2953	3149	3491	3700	4614	4868	4911	4942	5045	5265	6367	6823	7793	7864	8089	8328	8892	8925	9402		 2.658
54	450	454	1247	1427	522	2154	2311	3103	3861	3878	3932	3970	4056	4518	4529	4948	5205	5381	6627	7205	7212	7541	7938	8467	8870	9040	9233	9475	9482		 4.226
80	146	454	637	1562	1940	2407	2438	3602	3857	3904	4010	4038	4256	4606	4797	4906	5348	5513	6578	6583	6736	7069	7907	8435	8838	8846	9208	9429	9566		 3.016
251	975	1121	1235	1964	1989	2164	2315	2346	2369	2913	3017	3266	3777	4614	5037	5041	5213	5816	6057	6127	6315	6448	6697	8033	8701	8925	9425	9427	9460		 2.832
109	139	155	376	629	1663	1750	2006	2213	2369	2377	2549	2847	4038	4529	4813	4868	4945	5082	5342	5653	5975	6450	7026	8603	8740	8984	9067	9080	9482		 3.553
374	449	510	1336	2467	2889	3530	3842	3873	3934	4059	4257	4396	4614	4706	5000	5976	6034	6036	6045	6088	6254	6823	7277	7474	7986	9153	9264	9336	9430		 3.120
228	899	1110	1114	1193	1361	1367	2369	3395	3557	4038	4428	4868	4992	5672	5914	6267	6516	6686	6868	7035	7164	8150	8235	8244	8562	8579	8838	9443	9468		 2.134
155	873	1114	1121	1933	2058	2222	2369	2969	3245	3575	3862	4148	4442	4598	4906	5278	6096	6267	6825	6985	6990	7069	7079	7746	8003	8474	8579	8720	9475		 4.343
391	534	775	1165	1247	2369	2388	2412	2441	3041	3384	4339	4401	4614	4794	5081	5724	5823	5980	6155	6475	7159	7287	7596	8150	8242	8579	8721	8925	9192		 2.421
251	471	518	777	1121	1934	2369	2745	2806	2987	3266	3271	3980	4069	4136	4614	4748	5796	6124	6426	7035	7474	7833	7994	8147	8283	8702	9129	9384	9468		 2.757
107	155	651	1554	1750	1779	1823	2426	3447	3898	3937	3960	4046	4148	4813	5019	5541	5607	5926	5976	6101	6596	6719	6788	7021	7212	7955	8003	9040	9448		 4.427
69	637	1114	1470	1984	2019	2166	2369	2399	2723	3388	3832	3847	4572	4748	4906	4911	6024	6401	6925	7036	7127	7206	7474	8579	8632	8892	9054	3230	9545		 2.723
32	454	580	771	886	1271	1521	2362	2662	3058	3102	3232	3272	3595	4148	5106	5205	5505	5899	6254	6554	7035	7115	7912	8219	8416	8429	8431	9446	9566		 1.720
77	155	490	852	854	1114	1121	1165	2337	2523	2582	3678	4205	4473	4718	4833	5110	5672	5704	5823	5846	6107	6493	7510	8150	8579	8842	8918	9032	9053		 2.289
53	391	575	1201	1589	1693	1854	2164	2311	2610	2892	3266	3741	4485	4549	4614	4775	4928	5321	5823	5882	6365	7298	7417	7657	8579	8677	8815	9444	9482		 2.211
60	518	1121	1540	1943	2019	2280	2567	3250	3266	3579	3582	3740	4614	4963	5037	5163	5823	5866	6005	6348	6486	6847	7414	7417	8534	8540	8556	8822	8838		 3.731
155	975	1114	1121	2192	2327	2369	2563	2761	3165	3266	3337	3581	3675	4614	5041	5511	5862	6032	6351	6485	6762	7035	7069	7204	7348	7900	8303	8752	8838		 2.920
251	376	490	534	822	1121	1267	1427	1501	2507	2843	3190	3790	3881	4143	4614	4868	5033	5422	5823	5830	7069	7097	8157	8326	8764	8842	9141	170	9332		 3.767
155	315	391	881	958	1160	2166	2169	2369	2606	3756	3983	4079	4622	4645	4995	5384	5511	5672	5714	5980	6820	7474	7772	8149	8534	8701	8918	9208	9532		 2.881
146	539	886	891	975	1114	1521	1558	1769	1854	1932	1940	3920	4182	4190	4419	4820	5106	5341	5823	6214	6435	6559	6762	7387	8170	8498	8720	9397	9567		 2.571
